LocusTag ;%
b0443;0.641562528
b0444;2.844676887
b0445;0.846564798
b0446;1.611687352
b0447;1.192097603
b0448;0.323342301
b0449;0.39823194
b0450;0.989943139
b0451;3.045481073
b0452;0.709987912
b0453;1.994861556
b0454;1.306433183
b0455;4.39074543
b0456;0.912593696
b0457;0.761207189
b0458;3.61991622
b0459;1.073946788
b0460;4.826368444
b0461;5.072930422
b0462;4.382764506
b0463;5.524780335
b0464;0.289036105
b0465;1.673143417
b0466;1.419830048
b0467;4.006460965
b0468;3.164340895
b0469;4.448562959
b0470;2.684763896
b0471;5.40439648
b0472;2.972754529
b0473;1.238927372
b0474;7.597067167
b0475;0.963941081
b0476;0.187909766
b0477;1.300355459
b0478;2.387983201
b0479;0.487360609
b0480;2.602996231
b0481;1.439952432
b0482;1.925825822
b0483;2.509382341
b0484;0.927560875
b0485;3.083014979
b0486;1.586648306
b0487;1.816655755
b0488;0.977204582
b0489;1.495927133
b0490;1.041627725
b0491;0.783162095
b0492;3.45509982
b0493;2.36992231
b0494;2.644056763
b0495;1.312871669
b0496;2.16746672
b0497;0.69673251
b0498;0.390080206
b0499;0.16668161
b0501;0.565649504
b0502;0.529295067
b0503;0.481920475
b0504;0.309706258
b0505;1.855219671
b0506;2.668478097
b0507;0.345166891
b0508;0.115150606
b0509;0.974260328
b0511;0.251401628
b0512;0.287453909
b0513;0.115549284
b0514;0.681163817
b0515;0.675234814
b0516;0.945812455
b0517;0.880745832
b0518;0.690062106
b0520;0.374179466
b0521;2.822788244
b0522;3.704606788
b0523;5.890143235
b0524;1.678640978
b0525;9.270918853
b0526;2.888255386
b0527;1.583669448
b0528;0.922715629
b0529;5.428633753
b0530;0.089061891
b0531;0.641461662
b0532;0.66858797
b0533;0.094032152
b0534;2.752852079
b0535;0.084623496
b0536;1.267357575
b0537;0.765059973
b0539;0.281372504
b0540;0
b0541;0
b0542;1.292152188
b0543;0.61394146
b0544;0.146714942
b0545;0.156138986
b0546;0.795049549
b0547;0.227993665
b0548;0.427689946
b0549;0.678106916
b0550;0.395158107
b0551;0.364497073
b0552;0
b0553;10.26763621
b0554;0.138267973
b0555;1.612559806
b0556;0.230293334
b0557;3.569151944
b0558;0.115725836
b0559;0.589344162
b0560;0
b0561;0.773021019
b0562;0.044743611
b0563;0.159882363
b0564;0.139271257
b0565;17.52403422
b0566;0.13103272
b0567;1.876607666
b0568;1.690805998
b0569;0.648834446
b0570;1.515947916
b0571;1.531724967
b0572;4.88887587
b0573;6.889695142
b0574;2.068007024
b0575;0.752171222
b0576;0.431931468
b0577;0.92692623
b0578;5.318086167
b0579;1.141331855
b0580;0.628483088
b0581;1.673624923
b0582;0
b0583;0.180806816
b0584;1.305864064
b0585;1.465983941
b0586;0.688516722
b0587;2.229369687
b0588;2.097498897
b0589;0.55345577
b0590;0.869061581
b0591;1.151319054
b0592;0.677294835
b0593;1.299117827
b0594;1.262248017
b0595;1.640116819
b0596;3.182953236
b0597;0.693406143
b0598;4.702273902
b0599;2.255252473
b0600;0.624526493
b0601;0.572266162
b0602;0.393961704
b0603;0.10632793
b0604;1.477068886
b0605;13.81880162
b0606;3.71281595
b0607;2.234494707
b0608;2.065625263
b0610;1.312706013
b0611;1.826903586
b0612;0.837891064
b0613;0.401416948
b0614;0.360233463
b0615;0.227204923
b0616;0.301130446
b0617;0.211919243
b0618;1.870776584
b0619;0.454579919
b0620;0.786197644
b0621;2.00721211
b0622;0.587193583
b0623;9.726744503
b0624;0.674402854
b0627;3.866375124
b0628;2.554602672
b0629;0.326719469
